date_time	average_temp	sum_rain_1h	average_clouds_all	sum_traffic_volume	holiday	holiday_dummy	day_of_week
3/22/2016	279.439375	0	16.3125	58854	None	0	3
3/23/2016	273.9004348	0	80.95652174	84653	None	0	4
3/24/2016	274.448125	0	6.625	55785	None	0	5
3/25/2016	275.4472222	0	29.83333333	62836	None	0	6
3/26/2016	278.8603846	0	88.84615385	65164	None	0	7
3/27/2016	276.6534483	0	80.79310345	42426	None	0	1
3/28/2016	276.5715789	0	27.73684211	57956	None	0	2
3/29/2016	282.9870588	0	22.70588235	66633	None	0	3
3/30/2016	280.3014815	0	90	105359	None	0	4
3/31/2016	279.3673684	0	81.36842105	79663	None	0	5
4/1/2016	275.4372222	0	37.88888889	75700	None	0	6
4/2/2016	273.109375	0	68.5	49548	None	0	7
4/3/2016	278.6507143	0	40.64285714	37607	None	0	1
4/4/2016	273.4270588	0	61.17647059	59255	None	0	2
4/5/2016	274.0784615	0	67.88461538	107032	None	0	3
4/6/2016	275.9403846	0	69.38461538	91646	None	0	4
4/7/2016	275.6846875	0.6	90	131987	None	0	5
4/8/2016	273.0881481	1.8	65.18518519	105770	None	0	6
4/9/2016	271.6866667	0	6.380952381	62106	None	0	7
4/10/2016	279.8694444	0	28.05555556	45928	None	0	1
4/11/2016	274.6523529	0	38.23529412	57311	None	0	2
4/12/2016	275.1241176	0	35.47058824	65649	None	0	3
4/13/2016	283.9138095	0	31.61904762	68584	None	0	4
4/14/2016	289.9168182	0	8.954545455	88261	None	0	5
4/15/2016	290.4619048	0	8.238095238	79152	None	0	6
4/16/2016	293.0772727	0	42.18181818	66198	None	0	7
4/17/2016	293.155	0	29.95	48009	None	0	1
4/18/2016	291.2916	0	48.24	91588	None	0	2
4/19/2016	283.8535294	1.8	86.61764706	116792	None	0	3
4/20/2016	286.2439474	0	81.31578947	147308	None	0	4
4/21/2016	285.6441463	4.8	74.51219512	152990	None	0	5
4/22/2016	281.5985238	0	7.333333333	82751	None	0	6
4/23/2016	285.5519048	0	6.904761905	62076	None	0	7
4/24/2016	285.8408333	57.33	74.28333333	169783	None	0	1
4/25/2016	283.7753061	31.55	83.87755102	164986	None	0	2
4/26/2016	279.311875	0	85.9375	57968	None	0	3
4/27/2016	279.88	4.04	39.78571429	53758	None	0	4
4/28/2016	277.5548936	32.21	90.12765957	176139	None	0	5
4/29/2016	280.1553333	1.02	42.7	102578	None	0	6
4/30/2016	282.6883333	0	78.33333333	75002	None	0	7
5/1/2016	283.6320833	0	70.875	63839	None	0	1
5/2/2016	284.7445833	0	9.125	82915	None	0	2
5/3/2016	287.9745833	0	36.66666667	88410	None	0	3
5/4/2016	286.1270833	0	9.875	91614	None	0	4
5/5/2016	288.2916667	0	27.79166667	95033	None	0	5
5/6/2016	296.7629167	0	27.66666667	91944	None	0	6
5/7/2016	288.379697	0	59.63636364	86695	None	0	7
5/8/2016	288.0025	0	28.875	65838	None	0	1
5/9/2016	286.895	18.11	69.25	105318	None	0	2
5/10/2016	283.8497826	26.26	90	167125	None	0	3
5/11/2016	284.6583333	11.44	86.25	187722	None	0	4
5/12/2016	284.3723333	1.01	61.66666667	101626	None	0	5
5/13/2016	279.34375	12.4	77.25	132051	None	0	6
5/14/2016	278.3425	0	45.83333333	67453	None	0	7
5/15/2016	282.7908333	0	29.33333333	64367	None	0	1
5/16/2016	286.6365217	0	39.34782609	78950	None	0	2
5/17/2016	285.305	0	27.41666667	87076	None	0	3
5/18/2016	285.8725	0	13.04166667	86809	None	0	4
5/19/2016	288.7683333	0	34.66666667	89380	None	0	5
5/20/2016	290.285	0	48.08333333	92243	None	0	6
5/21/2016	290.9920833	0.3	15.20833333	73943	None	0	7
5/22/2016	293.61375	0	33.66666667	62447	None	0	1
5/23/2016	294.6389655	2.8	71.20689655	102160	None	0	2
5/24/2016	294.8903704	1.01	49.40740741	99343	None	0	3
5/25/2016	292.9627586	14.66	62.65517241	112646	None	0	4
5/26/2016	293.2628125	42.66	59.53125	103555	None	0	5
5/27/2016	290.9955263	17.98	82.42105263	153700	None	0	6
5/28/2016	289.9891111	9.66	79.93333333	119870	None	0	7
5/29/2016	292.163871	4.1	64.90322581	64935	None	0	1
5/30/2016	292.2925	0.75	29.09375	59487	Memorial Day	1	2
5/31/2016	292.9021429	0.91	74.5	102493	None	0	3
6/1/2016	289.3029167	0	58.41666667	89209	None	0	4
6/2/2016	290.21375	0	47.33333333	89861	None	0	5
6/3/2016	290.6446875	11.67	71.65625	132792	None	0	6
6/4/2016	290.504375	8.12	76.875	99491	None	0	7
6/5/2016	292.8358333	0.9	21.08333333	65472	None	0	1
6/6/2016	289.9752	0.5	46.12	91141	None	0	2
6/7/2016	288.8704167	0	21.79166667	90583	None	0	3
6/8/2016	291.27125	0	3.083333333	93349	None	0	4
6/9/2016	295.0304167	33.68	25	91163	None	0	5
6/10/2016	298.09375	0	9	92121	None	0	6
6/11/2016	298.6316667	0	9	68692	None	0	7
6/12/2016	294.5725	0.51	18.66666667	61953	None	0	1
6/13/2016	293.73625	1.52	46.33333333	85530	None	0	2
6/14/2016	292.1420833	20.64	81.5	86753	None	0	3
6/15/2016	292.88225	0.5	65.33333333	92039	None	0	4
6/16/2016	294.1008333	0	0.333333333	94233	None	0	5
6/17/2016	295.5808333	0.3	1.5	93219	None	0	6
6/18/2016	296.8916667	0	42.33333333	82409	None	0	7
6/19/2016	299.90125	0	22	72216	None	0	1
6/20/2016	294.4416667	2.54	14	87516	None	0	2
6/21/2016	293.5554167	0	11	90541	None	0	3
6/22/2016	296.0825	0	49	92755	None	0	4
6/23/2016	292.0116667	0.6	55.16666667	95360	None	0	5
6/24/2016	293.6880769	0	31	103459	None	0	6
6/25/2016	300.234	0	48.04	72498	None	0	7
6/26/2016	297.4975	0	12.95833333	61143	None	0	1
6/27/2016	293.1416667	0.6	40.625	78893	None	0	2
6/28/2016	291.68875	0	33.95833333	82587	None	0	3
6/29/2016	292.85875	0	31.79166667	82260	None	0	4
6/30/2016	292.8784	1.52	43.32	84901	None	0	5
7/1/2016	290.0854167	0	29.625	79556	None	0	6
7/2/2016	292.6295833	0	45.70833333	56401	None	0	7
7/3/2016	293.8833333	0	23.25	51552	None	0	1
7/4/2016	294.0416667	0	48.33333333	46678	Independence Day	1	2
7/5/2016	295.8371429	47.25	70.2	108462	None	0	3
7/6/2016	295.4667857	0	45.25	98000	None	0	4
7/7/2016	295.32	6.86	69.21428571	91565	None	0	5
7/8/2016	294.3379167	0.76	56.625	80076	None	0	6
7/9/2016	293.5848276	0	11.06896552	54908	None	0	7
7/10/2016	295.0457576	39.37	77.45454545	75511	None	0	1
7/11/2016	298.2	9831.81	82.2	77723	None	0	2
7/12/2016	297.7161538	4.2	42.30769231	81237	None	0	3
7/13/2016	297.4329167	0	11.375	80937	None	0	4
7/14/2016	293.111125	0	61	83446	None	0	5
7/15/2016	290.610375	0	59.5	83493	None	0	6
7/16/2016	292.2535	0	39.5	65154	None	0	7
7/17/2016	294.553625	0	46.5	57320	None	0	1
7/18/2016	293.58725	0	47	77057	None	0	2
7/19/2016	297.888	0	0	78264	None	0	3
7/20/2016	301.177375	0	5.5	81339	None	0	4
7/21/2016	299.6764828	15.66	39.86206897	99028	None	0	5
7/22/2016	299.1743333	0	15.36666667	81568	None	0	6
7/23/2016	295.9405714	138.65	63.6	6753	None	0	7
7/24/2016	297.6407407	3.06	55.77777778	22284	None	0	1
7/25/2016	296.8558333	0.9	5.75	78885	None	0	2
7/26/2016	298.61875	0	32.45833333	80268	None	0	3
7/27/2016	296.0974286	20.78	86.14285714	132660	None	0	4
7/28/2016	293.3425	0	80.20833333	82096	None	0	5
7/29/2016	293.1533333	0.3	44	76696	None	0	6
7/30/2016	294.22125	0	65.25	53403	None	0	7
7/31/2016	296.3033333	0	57.54166667	51310	None	0	1
8/1/2016	297.5108333	0.3	54.20833333	78929	None	0	2
8/2/2016	298.9683333	0	45.91666667	83646	None	0	3
8/3/2016	298.51	0.6	16.46428571	95792	None	0	4
8/4/2016	296.85125	30.81	29.16666667	83903	None	0	5
8/5/2016	293.4129167	0	1	86389	None	0	6
8/6/2016	293.325	0	0	75179	None	0	7
8/7/2016	294.3083333	0	20.5	67893	None	0	1
8/8/2016	295.2166667	0	7.333333333	79902	None	0	2
8/9/2016	299.103	0.9	36	82965	None	0	3
8/10/2016	298.3741667	30.34	16	80712	None	0	4
8/11/2016	295.70625	30.31	56.5	85267	None	0	5
8/12/2016	294.72	16.6	58.5	82437	None	0	6
8/13/2016	294.18	1.7	5.333333333	63649	None	0	7
8/14/2016	294.1283333	0	10.5	58705	None	0	1
8/15/2016	294.55625	0	5	78747	None	0	2
8/16/2016	295.1045833	39.14	11.5	79830	None	0	3
8/17/2016	295.3316667	1.15	1.333333333	82589	None	0	4
8/18/2016	294.9908333	6.4	7.666666667	82139	None	0	5
8/19/2016	293.3595833	12.93	74.33333333	85417	None	0	6
8/20/2016	289.9313793	11.27	73.96551724	84552	None	0	7
8/21/2016	290.49375	0	18.95833333	59222	None	0	1
8/22/2016	294.28	0	5.708333333	81092	None	0	2
8/23/2016	295.6163636	103.74	22	97992	None	0	3
8/24/2016	294.1605882	5.61	62.91176471	93008	None	0	4
8/25/2016	291.5570833	0	17.375	86688	State Fair	1	5
8/26/2016	290.1796	0	10.04	90235	None	0	6
8/27/2016	290.6645	16.93	66.725	120605	None	0	7
8/28/2016	292.2170455	1.75	55.61363636	98860	None	0	1
8/29/2016	296.879	11.18	27.93333333	97806	None	0	2
8/30/2016	293.9487097	36.83	35.32258065	86617	None	0	3
8/31/2016	290.8457143	0	7.928571429	90752	None	0	4
9/1/2016	290.2909524	0	11	68567	None	0	5
9/2/2016	290.79375	0	19	83832	None	0	6
9/3/2016	291.80625	0.3	2.625	62921	None	0	7
9/4/2016	293.4692308	0	42.76923077	64197	None	0	1
9/5/2016	294.751	52.44	58.15	74734	Labor Day	1	2
9/6/2016	295.7578723	68.12	52.74468085	145520	None	0	3
9/7/2016	294.0833333	3.27	75.09090909	119391	None	0	4
9/8/2016	293.3441667	0	15.125	82922	None	0	5
9/9/2016	291.5423333	8.55	36.26666667	92087	None	0	6
9/10/2016	290.094	0	16.28	76027	None	0	7
9/11/2016	291.9283333	0	1.791666667	64885	None	0	1
9/12/2016	293.3280769	0	39	87562	None	0	2
9/13/2016	288.2132	0.3	29.76	86805	None	0	3
9/14/2016	286.7083333	0	2.916666667	83634	None	0	4
9/15/2016	290.243871	36.47	74.93548387	109712	None	0	5
9/16/2016	291.5951852	2.83	57.96296296	83749	None	0	6
9/17/2016	289.735	0.25	29.125	71282	None	0	7
9/18/2016	291.9372727	0	7.727272727	57585	None	0	1
9/19/2016	292.7458333	0.25	4.166666667	79612	None	0	2
9/20/2016	291.2534783	0	24.52173913	78677	None	0	3
9/21/2016	290.756375	21.68	60.83333333	85670	None	0	4
9/22/2016	289.9333333	13.29	88.83333333	81702	None	0	5
9/23/2016	289.57625	15.13	83.16666667	81659	None	0	6
9/24/2016	291.9104167	0	73.83333333	70968	None	0	7
9/25/2016	289.7054167	6.84	64	60170	None	0	1
9/26/2016	286.2295833	0	32.83333333	79103	None	0	2
9/27/2016	284.175	0.53	46.16666667	78247	None	0	3
9/28/2016	285.2654167	0	54.5	81510	None	0	4
9/29/2016	285.7164	0.25	0.96	86659	None	0	5
9/30/2016	287.23875	0	9.333333333	84969	None	0	6
10/1/2016	288.4191667	0	14	68254	None	0	7
10/2/2016	288.505	0	6	59810	None	0	1
10/3/2016	290.0070833	0	1	78844	None	0	2
10/4/2016	290.5845833	5.29	61	83054	None	0	3
10/5/2016	287.15225	13.94	32.5	83459	None	0	4
10/6/2016	284.0262083	0	30.16666667	81872	None	0	5
10/7/2016	279.028875	0	42.5	84246	None	0	6
10/8/2016	277.4199583	0	9.5	75288	None	0	7
10/9/2016	279.3055217	0	0	59740	None	0	1
10/10/2016	288.6736522	0	13.04347826	74469	Columbus Day	1	2
10/11/2016	291.637	0	44.5	81784	None	0	3
10/12/2016	280.41075	0	57	79022	None	0	4
10/13/2016	277.243125	0	0	84043	None	0	5
10/14/2016	285.5130435	0	15.82608696	82427	None	0	6
10/15/2016	292.6833333	0	81.33333333	56228	None	0	7
10/16/2016	288.2218182	0	46.90909091	56378	None	0	1
10/17/2016	289.676625	0	51	79954	None	0	2
10/18/2016	285.2460833	0	12.33333333	83107	None	0	3
10/19/2016	281.537	0	10.72727273	74712	None	0	4
10/20/2016	277.2628421	0	16.21052632	69895	None	0	5
10/21/2016	278.7681739	0	34.95652174	81187	None	0	6
10/22/2016	281.8735217	0	1.043478261	61191	None	0	7
10/23/2016	282.953625	0	5.5	60814	None	0	1
10/24/2016	277.518	0	6	77637	None	0	2
10/25/2016	280.431625	0	81	79044	None	0	3
10/26/2016	279.3715	0	90	79207	None	0	4
10/27/2016	279.107625	0	43.5	84421	None	0	5
10/28/2016	286.86575	0	35	85816	None	0	6
10/29/2016	283.40575	0	79.5	66605	None	0	7
10/30/2016	277.759125	0	11.5	52869	None	0	1
10/31/2016	283.02225	0	62	77403	None	0	2
11/1/2016	284.7081667	0	6.208333333	83787	None	0	3
11/2/2016	281.8908	0	55.08	82068	None	0	4
11/3/2016	282.8252	0	10.72	93029	None	0	5
11/4/2016	282.7326923	0	3.192307692	95778	None	0	6
11/5/2016	284.1276	0	3.32	66800	None	0	7
11/6/2016	286.3288	0	1.76	53121	None	0	1
11/7/2016	285.67125	0	51.125	78260	None	0	2
11/8/2016	281.7458333	0	2.583333333	79389	None	0	3
11/9/2016	280.1532	0	12.72	88608	None	0	4
11/10/2016	284.8866667	0	1	82784	None	0	5
11/11/2016	278.4341667	0	2.625	82612	Veterans Day	1	6
11/12/2016	278.39	0	1	63519	None	0	7
11/13/2016	282.7775	0	1	50791	None	0	1
11/14/2016	280.0136	0	42.44	78636	None	0	2
11/15/2016	277.5681081	0	40.81081081	107188	None	0	3
11/16/2016	280.4133333	0	18.14814815	81564	None	0	4
11/17/2016	283.3216667	0	54.125	86824	None	0	5
11/18/2016	276.9733929	0	87.05357143	204565	None	0	6
11/19/2016	271.0483333	0	53.66666667	65048	None	0	7
11/20/2016	269.565	0	36.5	53556	None	0	1
11/21/2016	271.6545833	0	6.041666667	78376	None	0	2
11/22/2016	274.0694231	0	81.44230769	170238	None	0	3
11/23/2016	274.2223529	0	90	156818	None	0	4
11/24/2016	274.4966667	0	89.64285714	93206	Thanksgiving Day	1	5
11/25/2016	274.2973333	0	80.1	60339	None	0	6
11/26/2016	273.6426316	0	9.605263158	73574	None	0	7
11/27/2016	274.2192727	0	79.98181818	110796	None	0	1
11/28/2016	281.4319608	0	84.23529412	149725	None	0	2
11/29/2016	275.4348718	0	88.84615385	111928	None	0	3
11/30/2016	275.4665574	0	90	190638	None	0	4
12/1/2016	275.1217241	0	90	93542	None	0	5
12/2/2016	272.8233333	0	90	92591	None	0	6
12/3/2016	272.2504	0	78.44	76077	None	0	7
12/4/2016	274.1063158	0	87.89473684	86699	None	0	1
12/5/2016	273.74	0	45.3	113072	None	0	2
12/6/2016	269.4145833	0	87.45833333	86745	None	0	3
12/7/2016	265.5707692	0	83.30769231	101791	None	0	4
12/8/2016	266.4292857	0	72.25	96615	None	0	5
12/9/2016	263.5118519	0	66.07407407	108442	None	0	6
12/10/2016	260.7390323	0	65.70967742	89149	None	0	7
12/11/2016	265.0680769	0	86.36538462	99053	None	0	1
12/12/2016	257.6955263	0	63.5	135165	None	0	2
12/13/2016	255.56775	0	3.75	87343	None	0	3
12/14/2016	257.8843333	0	15.8	116050	None	0	4
12/15/2016	253.8975	0	26.04166667	87303	None	0	5
12/16/2016	260.6105128	0	90	104632	None	0	6
12/17/2016	258.2205	0	64.5	67869	None	0	7
12/18/2016	249.04	0	4.739130435	44814	None	0	1
12/19/2016	262.9	0	18.92307692	83820	None	0	2
12/20/2016	272.3283333	0	12.79166667	88534	None	0	3
12/21/2016	273.5633333	0	60.33333333	85402	None	0	4
12/22/2016	271.1195833	0	4.916666667	84920	None	0	5
12/23/2016	273.9995238	0	72.69047619	151497	None	0	6
12/24/2016	274.1668571	0	90	85765	None	0	7
12/25/2016	274.274918	0	90	91433	Christmas Day	1	1
12/26/2016	269.46	0	86.85185185	59322	None	0	2
12/27/2016	266.0883333	0	55.20833333	75618	None	0	3
12/28/2016	271.2825	0	35.625	81022	None	0	4
12/29/2016	271.375	0	61.91666667	82366	None	0	5
12/30/2016	268.3266667	0	49.75	81734	None	0	6
12/31/2016	268.99625	0	43.95833333	64473	None	0	7
1/1/2017	270.0875	0	42.25	51063	New Years Day	1	1
1/2/2017	272.2630952	0	90	99808	None	0	2
1/3/2017	266.7270968	0	55.22580645	82929	None	0	3
1/4/2017	254.5524	0	13.56	85131	None	0	4
1/5/2017	253.6241935	0	48.19354839	89926	None	0	5
1/6/2017	252.9046154	0	12.96153846	86597	None	0	6
1/7/2017	256.3291667	0	3.958333333	65994	None	0	7
1/8/2017	258.0316667	0	37	55603	None	0	1
1/9/2017	266.7736364	0	84.27272727	113882	None	0	2
1/10/2017	266.9537838	0	60.67567568	113940	None	0	3
1/11/2017	258.5277419	0	72.58064516	91208	None	0	4
1/12/2017	258.5730769	0	36.76923077	96795	None	0	5
1/13/2017	254.3054167	0	55.125	87355	None	0	6
1/14/2017	261.28375	0	8.791666667	66050	None	0	7
1/15/2017	261.4860714	0	7.107142857	59184	None	0	1
1/16/2017	267.6025	0	50.675	111604	Martin Luther King Jr Day	1	2
1/17/2017	272.6935556	0	81.91111111	149004	None	0	3
1/18/2017	272.7205556	0	16.61111111	118851	None	0	4
1/19/2017	274.0740909	0	17.34090909	146960	None	0	5
1/20/2017	275.1826316	0	90	191471	None	0	6
1/21/2017	275.1862903	0	90	184582	None	0	7
1/22/2017	275.0907692	0	90	76447	None	0	1
1/23/2017	274.184186	0	90	152005	None	0	2
1/24/2017	273.22876	0	66.8	83902	None	0	3
1/25/2017	271.5241034	0	90.13793103	102384	None	0	4
1/26/2017	270.6104167	0	89.375	90924	None	0	5
1/27/2017	268.925	0	44.5	91525	None	0	6
1/28/2017	269.8008333	0	70.83333333	72645	None	0	7
1/29/2017	268.44375	0	51.04166667	58191	None	0	1
1/30/2017	270.862439	0	72.58536585	118786	None	0	2
1/31/2017	274.3607692	0	74.66666667	105133	None	0	3
2/1/2017	264.9616667	0	19	86747	None	0	4
2/2/2017	261.6104167	0	10.875	87064	None	0	5
2/3/2017	262.5804167	0	2	92496	None	0	6
2/4/2017	269.07375	0	51.75	72726	None	0	7
2/5/2017	267.6025	0	42.79166667	58130	None	0	1
2/6/2017	268.6	0	36.20833333	82586	None	0	2
2/7/2017	268.9943243	0	74.81081081	129796	None	0	3
2/8/2017	259.3266667	0	17.29166667	90967	None	0	4
2/9/2017	261.4954167	0	17.875	88847	None	0	5
2/10/2017	272.7533333	0	27.875	85539	None	0	6
2/11/2017	276.5642857	0	36.42857143	76664	None	0	7
2/12/2017	274.5813793	0	13.75862069	65121	None	0	1
2/13/2017	273.655625	0	1	57793	None	0	2
2/14/2017	272.031913	0	6.782608696	89002	None	0	3
2/15/2017	268.1564167	0	1.666666667	88218	None	0	4
2/16/2017	272.8381667	0	28.5	91959	None	0	5
2/17/2017	278.562125	0	1	92271	None	0	6
2/18/2017	278.4406667	0	8.833333333	73680	None	0	7
2/19/2017	280.7465833	0	45.5	62846	None	0	1
2/20/2017	285.3106667	0	76.16666667	74482	Washingtons Birthday	1	2
2/21/2017	280.7673636	0	27.40909091	86364	None	0	3
2/22/2017	279.1663415	0	53.41463415	138713	None	0	4
2/23/2017	273.5091667	0	75.45833333	93391	None	0	5
2/24/2017	269.7226923	0	64.07692308	93963	None	0	6
2/25/2017	268.4966667	0	25.54166667	72214	None	0	7
2/26/2017	271.4941667	0	50.04166667	61533	None	0	1
2/27/2017	273.98125	0	57.5	88063	None	0	2
2/28/2017	275.8161111	0	80.30555556	136459	None	0	3
3/1/2017	271.8545161	0	84.19354839	104530	None	0	4
3/2/2017	267.9233333	0	18.04166667	91641	None	0	5
3/3/2017	267.3046154	0	44.84615385	99628	None	0	6
3/4/2017	273.9554167	0	20.66666667	71544	None	0	7
3/5/2017	280.80125	0	50.16666667	63844	None	0	1
3/6/2017	284.58125	0	73.8125	118414	None	0	2
3/7/2017	276.3520833	0	48.20833333	90211	None	0	3
3/8/2017	271.2195833	0	44.5	91566	None	0	4
3/9/2017	269.4208333	0	44.75	95650	None	0	5
3/10/2017	261.9829167	0	5.875	96325	None	0	6
3/11/2017	263.19	0	45.79166667	79052	None	0	7
3/12/2017	264.9121875	0	65.84375	78716	None	0	1
3/13/2017	265.9637931	0	48.31034483	82025	None	0	2
3/14/2017	264.73875	0	1.791666667	85843	None	0	3
3/15/2017	267.6969565	0	4.391304348	84046	None	0	4
3/16/2017	273.4146667	0	59.63333333	115720	None	0	5
3/17/2017	275.482	0	69.96	97433	None	0	6
3/18/2017	273.7679167	0	54.875	74675	None	0	7
3/19/2017	277.2675	0	16.83333333	62760	None	0	1
3/20/2017	279.81875	0	30.5	83702	None	0	2
3/21/2017	273.3047826	0	1	85788	None	0	3
3/22/2017	271.6383333	0	36.70833333	88951	None	0	4
3/23/2017	276.4812195	0	86.17073171	156813	None	0	5
3/24/2017	276.7929545	0	90.22727273	150122	None	0	6
3/25/2017	277.1582143	0	90	81646	None	0	7
3/26/2017	276.4456863	0	90	109375	None	0	1
3/27/2017	279.0441935	0	63.83870968	119333	None	0	2
3/28/2017	280.416	0	6.92	97434	None	0	3
3/29/2017	279.4506897	0	58.20689655	101397	None	0	4
3/30/2017	278.9775862	0	88.96551724	100929	None	0	5
3/31/2017	279.2979167	0	42.41666667	94803	None	0	6
4/1/2017	281.9154167	0	15.25	74989	None	0	7
4/2/2017	281.5728571	0	63.82142857	80469	None	0	1
4/3/2017	282.3505769	0	85.42307692	201214	None	0	2
4/4/2017	283.3231034	0	28.4137931	91438	None	0	3
4/5/2017	280.2954167	0	36.375	89737	None	0	4
4/6/2017	279.5191667	0	2.791666667	92160	None	0	5
4/7/2017	280.6026087	0	15.56521739	88187	None	0	6
4/8/2017	287.4308333	0	23.20833333	69220	None	0	7
4/9/2017	288.678	0	61.6	79274	None	0	1
4/10/2017	278.0018605	0	85.37209302	145712	None	0	2
4/11/2017	276.7509677	0	61.35483871	93430	None	0	3
4/12/2017	281.3727778	0	71	127257	None	0	4
4/13/2017	282.5148148	0	83.33333333	100184	None	0	5
4/14/2017	286.5846341	0	69.04878049	158449	None	0	6
4/15/2017	287.934386	0	84.57894737	128128	None	0	7
4/16/2017	285.9970833	0	15.75	62346	None	0	1
4/17/2017	283.25	0	30.08333333	88022	None	0	2
4/18/2017	284.4326667	0	78.6	116719	None	0	3
4/19/2017	280.913	0	83.925	141551	None	0	4
4/20/2017	279.1686364	0	83	155691	None	0	5
4/21/2017	281.3333333	0	12.11111111	108673	None	0	6
4/22/2017	284.85	0	5.083333333	78104	None	0	7
4/23/2017	285.8433333	0	23	62583	None	0	1
